product_id,sku,category,marketplace,price,cost,rating,launch_date,total_orders,total_sales,total_returns,total_revenue,total_ad_spend,avg_daily_sales,sales_std,avg_discount,days_with_data,return_rate,ad_spend_per_sale,sales_volatility,top_return_reason,verification_fail_rate,avg_damage_probability,avg_anomaly_score,days_since_launch,margin_pct,price_tier
MCH-P-000001,SKU-A385151E,audio_headphones,meesho,17722.91,14187.35,2.7,2024-09-19,6486,6098,921,101160597.98,113061.73,16.706849315068492,5.408995579382657,0.047972602739726034,365,0.15103312561495572,18.54078878320761,0.3237591647219859,damage,0.3333333333333333,0.075,0.08666666666666667,703,0.19949094138603646,luxury
MCH-P-000002,SKU-C7C87603,bedding_linen,purplle,7812.27,5987.32,2.8,2024-11-07,1752,1392,128,10145873.16,110692.59,3.813698630136986,2.371610656648533,0.052301369863013696,365,0.09195402298850575,79.52053879310344,0.621866300055111,not_needed,0.0,0.010333333333333333,0.043333333333333335,654,0.2336004771980488,premium
MCH-P-000003,SKU-145EA0A3,sports_fitness,purplle,14957.13,12330.18,4.6,2025-06-28,6027,5657,517,79041551.77,108043.92,15.498630136986302,5.6537572149671,0.049369863013698626,365,0.09139119674739261,19.099155029167402,0.3647907695709725,damage,0.0,0.08800000000000001,0.07733333333333332,421,0.17563195613062124,luxury
MCH-P-000004,SKU-97670A5D,home_decor,croma,6734.14,3902.66,2.7,2026-05-05,2825,2460,250,15543068.58,113907.42,6.739726027397261,3.011093943722051,0.04983561643835617,365,0.1016260162601626,46.30382926829268,0.4467680038449384,damage,0.0,0.05333333333333334,0.03766666666666667,110,0.42046645896877705,premium
MCH-P-000005,SKU-F8A6E004,books_media,indiamart,1931.46,1478.21,4.9,2024-08-03,652,344,6,614918.94,114723.96,0.9424657534246575,1.1834385790525357,0.05027397260273973,365,0.01744186046511628,333.49988372093026,1.25568337602958,not_needed,0.0,0.011000000000000001,0.083,750,0.2346670394416659,mid
MCH-P-000006,SKU-5D14A833,winterwear,snapdeal,8091.42,6250.09,3.7,2024-10-01,6457,6072,791,45660854.04,110361.91,16.635616438356163,5.551590452813771,0.0558904109589041,365,0.13027009222661395,18.175545125164692,0.33371714678475406,not_needed,0.0,0.052,0.07466666666666667,691,0.22756574247783454,premium
MCH-P-000007,SKU-F0B2AA1D,makeup_cosmetics,walmart_marketplace,700.88,518.0,4.9,2026-06-16,1203,857,46,559393.33,108531.05,2.347945205479452,1.8802114088698265,0.05153424657534246,365,0.05367561260210035,126.64066511085181,0.8007901566365073,damage,0.0,0.06166666666666667,0.08633333333333333,68,0.26092911768063004,mid
MCH-P-000008,SKU-480205A2,garden_outdoor,pepperfry,4987.83,3140.64,3.0,2026-05-19,6438,6048,355,28196851.32,109529.7,16.56986301369863,5.741565360019951,0.04975342465753425,365,0.05869708994708995,18.110069444444445,0.3465065073424739,damage,0.0,0.048999999999999995,0.07733333333333332,96,0.3703394061144827,premium
MCH-P-000009,SKU-43E007D7,skincare,reliance_digital,2430.43,1408.24,3.6,2026-04-02,4145,3779,113,8610017.06,111371.75,10.353424657534246,4.008030475738089,0.04715068493150685,365,0.02990209050013231,29.471222545646995,0.38712122880243516,not_needed,0.0,0.023000000000000003,0.08033333333333333,143,0.4205798973844134,premium
MCH-P-000010,SKU-ED0FBB46,kitchenware_dining,nykaa,8343.35,6216.57,4.6,2026-05-01,6787,6401,563,50135774.2,109493.78,17.53698630136986,5.57534572055025,0.04742465753424658,365,0.08795500703015154,17.10573035463209,0.31791926074064075,damage,0.0,0.08866666666666667,0.077,114,0.25490720154374447,premium
