product_id,date,stock,orders,sales,revenue,discount,returns,return_reason,advertising_spend,season,festival
MCH-P-000001,2025-08-23,341,22,20,280021.98,0.21,5,not_needed,58.72,monsoon,Raksha Bandhan
MCH-P-000001,2025-08-24,320,23,21,301466.7,0.19,1,size_issue,126.56,monsoon,Raksha Bandhan
MCH-P-000001,2025-08-25,302,19,18,319012.38,0.0,3,size_issue,377.29,monsoon,
MCH-P-000001,2025-08-26,291,12,11,194952.01,0.0,1,damage,351.89,monsoon,
MCH-P-000001,2025-08-27,280,12,11,194952.01,0.0,1,damage,486.04,monsoon,
MCH-P-000001,2025-08-28,263,18,17,301289.47,0.0,0,,364.24,monsoon,
MCH-P-000001,2025-08-29,258,6,5,88614.55,0.0,1,wrong_item,243.02,monsoon,
MCH-P-000001,2025-08-30,242,17,16,283566.56,0.0,3,quality_issue,497.5,monsoon,
MCH-P-000001,2025-08-31,232,11,10,177229.1,0.0,1,damage,382.04,monsoon,
MCH-P-000001,2025-09-01,219,14,13,230397.83,0.0,1,damage,286.82,monsoon,
MCH-P-000001,2025-09-02,204,16,15,265843.65,0.0,1,wrong_item,344.88,monsoon,
MCH-P-000001,2025-09-03,184,21,20,354458.2,0.0,1,damage,363.94,monsoon,
MCH-P-000001,2025-09-04,172,13,12,212674.92,0.0,3,damage,11.88,monsoon,
MCH-P-000001,2025-09-05,161,12,11,194952.01,0.0,1,size_issue,494.55,monsoon,
MCH-P-000001,2025-09-06,149,13,12,212674.92,0.0,3,not_needed,342.61,monsoon,
MCH-P-000001,2025-09-07,135,15,14,248120.74,0.0,2,damage,152.74,monsoon,
MCH-P-000001,2025-09-08,124,12,11,194952.01,0.0,2,damage,346.93,monsoon,
MCH-P-000001,2025-09-09,105,20,19,319898.53,0.05,4,other,22.44,monsoon,
MCH-P-000001,2025-09-10,87,19,18,319012.38,0.0,2,damage,297.59,monsoon,
MCH-P-000001,2025-09-11,77,11,10,177229.1,0.0,2,not_needed,446.27,monsoon,
MCH-P-000001,2025-09-12,58,20,19,336735.29,0.0,2,quality_issue,340.95,monsoon,
MCH-P-000001,2025-09-13,41,18,17,301289.47,0.0,3,damage,465.73,monsoon,
MCH-P-000001,2025-09-14,30,12,11,194952.01,0.0,3,not_needed,34.31,monsoon,
MCH-P-000001,2025-09-15,219,18,17,301289.47,0.0,3,size_issue,161.23,monsoon,
MCH-P-000001,2025-09-16,203,17,16,283566.56,0.0,7,damage,101.2,monsoon,
MCH-P-000001,2025-09-17,188,16,15,241917.72,0.09,2,size_issue,328.67,monsoon,
MCH-P-000001,2025-09-18,171,18,17,301289.47,0.0,3,size_issue,50.6,monsoon,
MCH-P-000001,2025-09-19,159,13,12,212674.92,0.0,0,,296.14,monsoon,
MCH-P-000001,2025-09-20,146,14,13,230397.83,0.0,2,damage,223.13,monsoon,
MCH-P-000001,2025-09-21,124,23,22,389904.02,0.0,1,damage,96.51,monsoon,
MCH-P-000001,2025-09-22,111,14,13,230397.83,0.0,0,,169.15,monsoon,
